back_down,DVadv,set,intelligent,confident,id,c1,c2,c3,c4,i1,i2,i3,i4,i5,othercheck,passman,moderatorrolecheck,passcomp,male,age,filter_$
did_not_back_down,1,1,2.2,6,A30X689MOKAFLZ,6,6,6,6,2,4,1,2,2,2,1,2,1,1,39,1
did_not_back_down,1,1,2.8,4.5,AIBFR88A00FP3,6,6,3,3,2,4,3,3,2,2,1,2,1,0,35,1
did_not_back_down,2,1,2.4,7,A1QRGVE005067Q,7,7,7,7,3,2,2,3,2,2,1,2,1,1,29,1
did_not_back_down,2,1,3,3.5,A17NHH2B4WXHLX,4,4,2,4,3,3,3,3,3,2,1,2,1,0,63,1
did_not_back_down,2,1,2.8,6.25,A1MSLM87Z8CLTK,7,7,6,5,3,4,3,2,2,2,1,2,1,1,45,1
did_not_back_down,2,1,4,3.5,ACFPXI6LMHSZU,5,5,2,2,4,5,4,4,3,2,1,2,1,1,37,1
did_not_back_down,2,1,3.2,6.25,A22VACRM9GC73M,7,6,6,6,4,4,2,4,2,2,1,2,1,1,44,1
did_not_back_down,2,1,1.8,4,A34OXAINBMHBTD,5,5,3,3,2,2,1,2,2,2,1,2,1,0,30,1
did_not_back_down,2,1,4,7,AZDRKFTM4LARP,7,7,7,7,4,4,4,4,4,2,1,2,1,1,30,1
did_not_back_down,2,1,1,5,A31681CCEVDIH3,5,5,5,5,1,1,1,1,1,2,1,2,1,0,30,1
did_not_back_down,2,1,3.8,3,A1ING769NXJIHR,3,3,3,3,5,3,3,5,3,2,1,2,1,0,42,1
did_not_back_down,2,1,2.6,7,ADAGUJNWMEPT6,7,7,7,7,3,4,2,2,2,2,1,2,1,1,47,1
did_not_back_down,2,1,1,6,A2EED3HLTA96CP,6,6,6,6,1,1,1,1,1,2,1,2,1,0,42,1
did_not_back_down,2,1,2.8,6.5,A15HF9M3EGMCWL,7,7,6,6,4,2,3,4,1,2,1,2,1,1,38,1
did_not_back_down,2,1,1.6,7,A2Y8RCX78HEWAY,7,7,7,7,1,4,1,1,1,2,1,2,1,0,56,1
did_not_back_down,2,1,3,3,A2EH6GXGWWT5UD,3,3,3,3,4,4,2,3,2,2,1,2,1,0,29,1
did_not_back_down,2,1,3.4,4.75,A3CEGD9ITLFUUD,5,6,2,6,4,4,2,3,4,2,1,2,1,0,39,1
did_not_back_down,2,1,3.8,5.25,A1N0D7925N0060,6,6,6,3,5,4,3,4,3,2,1,2,1,1,54,1
did_not_back_down,2,1,3,5.5,A23I6D4NN53KFE,6,6,5,5,3,4,3,3,2,2,1,2,1,0,27,1
did_not_back_down,2,1,2.6,6.5,A3EJ44J2ZNRMDA,7,7,6,6,4,3,1,3,2,2,1,2,1,1,48,1
did_not_back_down,2,1,3.8,6,AF5OX8V2MJZCY,6,6,6,6,3,5,3,3,5,2,1,2,1,0,51,1
did_not_back_down,2,1,4,6,A3AY0315YWWNXY,6,6,6,6,4,4,4,4,4,2,1,2,1,1,27,1
did_not_back_down,2,1,1,5.75,A1FSPD1LIOXCN1,6,6,6,5,1,1,1,1,1,2,1,2,1,0,33,1
did_not_back_down,2,1,3,6.5,A1U7O93JY3WFMU,7,7,5,7,4,3,2,4,2,2,1,2,1,0,45,1
did_not_back_down,2,1,3.4,6,A276TOSEU7TQ8Y,6,6,6,6,3,4,3,4,3,2,1,2,1,1,35,1
did_not_back_down,2,1,3.6,5,A2J91VTQ80G317,5,5,5,5,3,4,4,4,3,2,1,2,1,0,49,1
did_not_back_down,2,1,5,6.5,A2DFXQ3QVQ9ELH,7,7,6,6,5,5,5,5,5,2,1,2,1,1,35,1
did_not_back_down,2,1,2.2,4,A3RDH0U2H6JCBC,5,5,3,3,2,2,2,2,3,2,1,2,1,0,30,1
did_not_back_down,2,1,4,5.5,A3MZ9RQJX9T656,6,6,6,4,4,4,4,4,4,2,1,2,1,0,40,1
did_not_back_down,2,1,3.2,2.75,A1N3J21E6L4VVO,3,3,2,3,3,4,3,3,3,2,1,2,1,1,55,1
did_not_back_down,2,1,2.8,4.25,AHXO376ALG8WN,6,5,3,3,4,3,2,3,2,2,1,2,1,0,25,1
