aote,global_warming,evolution,big_bang,stem_cell,vaccines,old_earth,modern_medicine,tech_problems,gm_health,trust_scien
87.5,100,100,100,100,100,100,100,83.33333333,100,4
55,0,0,0,0,16.66666667,0,66.66666667,33.33333333,0,1
80,100,100,83.33333333,100,83.33333333,NA,100,83.33333333,66.66666667,4
82.5,100,83.33333333,100,83.33333333,100,66.66666667,100,83.33333333,50,4
80,66.66666667,66.66666667,66.66666667,83.33333333,66.66666667,83.33333333,50,100,33.33333333,4
62.5,83.33333333,100,83.33333333,83.33333333,50,100,66.66666667,83.33333333,16.66666667,3
87.5,100,50,50,83.33333333,33.33333333,50,66.66666667,100,0,5
67.5,83.33333333,83.33333333,50,83.33333333,100,83.33333333,66.66666667,83.33333333,83.33333333,4
40,100,0,0,16.66666667,0,83.33333333,33.33333333,33.33333333,16.66666667,3
37.5,66.66666667,50,83.33333333,50,50,100,83.33333333,50,16.66666667,4
60,100,100,100,100,100,83.33333333,100,66.66666667,50,4
50,100,33.33333333,0,66.66666667,100,100,33.33333333,33.33333333,33.33333333,3
55,66.66666667,66.66666667,33.33333333,50,33.33333333,83.33333333,66.66666667,33.33333333,16.66666667,2
80,100,100,100,100,100,100,83.33333333,50,50,5
100,100,100,100,100,100,100,100,66.66666667,100,5
57.5,83.33333333,50,50,66.66666667,33.33333333,66.66666667,66.66666667,16.66666667,33.33333333,4
72.5,NA,83.33333333,83.33333333,83.33333333,100,83.33333333,83.33333333,83.33333333,100,4
60,66.66666667,100,83.33333333,100,33.33333333,100,83.33333333,33.33333333,83.33333333,4
85,100,100,100,NA,100,100,100,83.33333333,66.66666667,5
37.5,66.66666667,0,0,66.66666667,50,33.33333333,33.33333333,83.33333333,16.66666667,3
35,66.66666667,66.66666667,50,66.66666667,83.33333333,100,83.33333333,83.33333333,33.33333333,4
12.5,50,0,66.66666667,100,33.33333333,0,66.66666667,83.33333333,50,4
80,100,83.33333333,100,100,83.33333333,100,100,66.66666667,16.66666667,5
70,33.33333333,66.66666667,66.66666667,66.66666667,50,83.33333333,83.33333333,100,66.66666667,1
80,66.66666667,100,83.33333333,100,50,83.33333333,83.33333333,33.33333333,16.66666667,4
92.5,100,50,83.33333333,83.33333333,100,100,16.66666667,83.33333333,100,4
45,100,100,50,100,83.33333333,100,100,100,50,4
75,100,0,0,50,50,50,83.33333333,83.33333333,50,3
85,0,83.33333333,83.33333333,83.33333333,100,100,83.33333333,100,100,4
67.5,100,50,50,66.66666667,50,83.33333333,33.33333333,33.33333333,16.66666667,4
37.5,83.33333333,66.66666667,66.66666667,50,100,66.66666667,100,83.33333333,16.66666667,3
70,100,83.33333333,83.33333333,66.66666667,100,100,66.66666667,66.66666667,83.33333333,5
42.5,83.33333333,83.33333333,16.66666667,16.66666667,100,83.33333333,83.33333333,16.66666667,16.66666667,4
85,100,100,100,100,100,100,100,100,100,5
97.5,100,100,100,100,100,100,100,83.33333333,33.33333333,4
40,66.66666667,50,83.33333333,66.66666667,66.66666667,50,33.33333333,16.66666667,33.33333333,4
85,100,100,100,100,100,100,66.66666667,66.66666667,50,4
62.5,33.33333333,33.33333333,33.33333333,66.66666667,50,100,50,50,0,3
95,83.33333333,100,100,83.33333333,100,100,83.33333333,100,66.66666667,5
45,50,83.33333333,100,50,83.33333333,83.33333333,66.66666667,83.33333333,83.33333333,5
30,100,83.33333333,66.66666667,66.66666667,33.33333333,100,83.33333333,50,0,4
62.5,100,100,100,100,100,100,100,100,100,3
87.5,100,66.66666667,66.66666667,83.33333333,16.66666667,100,66.66666667,66.66666667,50,4
65,33.33333333,50,50,50,50,100,50,50,33.33333333,3
48.57142857,100,100,66.66666667,100,100,100,83.33333333,100,0,4
85,83.33333333,83.33333333,100,50,100,100,16.66666667,16.66666667,16.66666667,3
82.5,100,100,100,66.66666667,100,100,100,100,100,4
62.5,100,100,100,100,100,100,100,100,33.33333333,5
70,100,100,66.66666667,0,66.66666667,100,0,0,0,3
87.5,100,100,100,100,50,100,83.33333333,100,66.66666667,5
70,83.33333333,66.66666667,83.33333333,83.33333333,83.33333333,100,83.33333333,66.66666667,33.33333333,4
77.5,100,16.66666667,16.66666667,83.33333333,50,83.33333333,83.33333333,66.66666667,66.66666667,4
70,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,33.33333333,33.33333333,16.66666667,4
80,0,83.33333333,83.33333333,66.66666667,83.33333333,100,100,100,50,3
95,83.33333333,100,100,100,100,100,100,100,66.66666667,4
87.5,100,100,100,100,83.33333333,100,83.33333333,100,33.33333333,5
85,100,100,100,100,83.33333333,100,100,83.33333333,83.33333333,5
77.5,100,83.33333333,66.66666667,100,100,100,50,50,83.33333333,4
82.5,100,50,50,50,50,83.33333333,50,83.33333333,0,3
75,83.33333333,100,83.33333333,83.33333333,100,83.33333333,83.33333333,33.33333333,0,4
30,83.33333333,83.33333333,66.66666667,100,66.66666667,100,100,100,0,4
52.5,66.66666667,66.66666667,66.66666667,50,100,66.66666667,83.33333333,66.66666667,100,5
55,33.33333333,66.66666667,50,83.33333333,50,83.33333333,83.33333333,66.66666667,16.66666667,3
97.5,100,100,100,100,100,100,100,100,100,4
70,16.66666667,NA,16.66666667,66.66666667,16.66666667,66.66666667,66.66666667,16.66666667,66.66666667,2
60,100,100,100,100,50,100,83.33333333,83.33333333,50,4
37.5,100,50,50,33.33333333,0,83.33333333,0,33.33333333,0,2
65,100,50,50,100,50,100,83.33333333,66.66666667,16.66666667,4
87.5,100,100,100,100,83.33333333,100,100,100,50,5
