aote,global_warming,evolution,big_bang,stem_cell,vaccines,old_earth,modern_medicine,tech_problems,gm_health,trust_scien
60,100,100,100,66.66666667,66.66666667,100,66.66666667,33.33333333,0,4
82.5,33.33333333,33.33333333,16.66666667,83.33333333,50,83.33333333,100,83.33333333,33.33333333,3
75,100,100,100,100,100,100,100,0,100,5
75,33.33333333,50,50,83.33333333,66.66666667,50,83.33333333,100,83.33333333,3
97.14285714,NA,100,100,50,100,100,100,66.66666667,100,4
65,83.33333333,100,83.33333333,50,100,100,100,0,16.66666667,2
32.5,50,50,50,66.66666667,100,100,100,100,100,4
65,100,100,100,83.33333333,83.33333333,100,100,83.33333333,83.33333333,4
55,66.66666667,83.33333333,33.33333333,66.66666667,50,33.33333333,66.66666667,50,33.33333333,4
72.5,100,100,83.33333333,100,83.33333333,83.33333333,66.66666667,100,0,4
87.5,100,100,100,100,83.33333333,50,83.33333333,100,0,5
80,100,83.33333333,83.33333333,83.33333333,50,83.33333333,50,83.33333333,50,3
67.5,100,66.66666667,83.33333333,16.66666667,66.66666667,100,33.33333333,83.33333333,33.33333333,4
55,66.66666667,66.66666667,83.33333333,83.33333333,33.33333333,83.33333333,66.66666667,33.33333333,16.66666667,4
55,50,83.33333333,83.33333333,50,50,100,66.66666667,50,50,3
30,100,83.33333333,0,100,16.66666667,100,83.33333333,16.66666667,0,5
85,100,50,83.33333333,100,83.33333333,100,83.33333333,83.33333333,50,4
42.5,50,16.66666667,33.33333333,33.33333333,33.33333333,50,50,50,33.33333333,3
100,100,100,100,100,100,100,100,100,83.33333333,5
40,100,83.33333333,100,83.33333333,0,100,83.33333333,33.33333333,16.66666667,5
40,100,83.33333333,100,83.33333333,16.66666667,83.33333333,100,0,0,5
