age,gender,exp_name,logic,belief,problem_type,judgments,brightness_rating,validity_rating,brightness,participant,ah4,crt,cog_ability,cog_style
18,Female,brightVal_exp4,Invalid,Believable,Conditional,Validity,NA,0,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Believable,Conditional,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Believable,Disjunction,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Disjunction,Validity,NA,0,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Believable,Disjunction,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Syllogism,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Believable,Conditional,Validity,NA,0,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Believable,Syllogism,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Believable,Conditional,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Believable,Conditional,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Believable,Conditional,Validity,NA,0,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Disjunction,Validity,NA,0,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Conditional,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Syllogism,Validity,NA,1,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Syllogism,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Syllogism,Validity,NA,0,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Believable,Disjunction,Validity,NA,0,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Disjunction,Validity,NA,1,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Conditional,Validity,NA,1,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Believable,Syllogism,Validity,NA,1,Low,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Invalid,Believable,Disjunction,Validity,NA,1,High,Person_1,35,0,low_ca,low_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Disjunction,Brightness,3,NA,Low,Person_2,30,2,low_ca,high_acs
